192.168.0.100,94.131.15.79,64653,46056,6,624
94.131.15.79,192.168.0.100,46056,64653,6,384
192.168.0.100,94.131.15.79,56158,46056,7,429
94.131.15.79,192.168.0.100,46056,56158,8,516
192.168.0.1,255.255.255.255,40020,7437,21,4515
192.168.0.100,94.131.15.79,63398,46056,15,1532
94.131.15.79,192.168.0.100,46056,63398,16,1756
192.168.0.100,94.131.15.79,56066,46056,6,329
94.131.15.79,192.168.0.100,46056,56066,6,390
192.168.0.100,94.131.15.79,56346,46056,6,329
94.131.15.79,192.168.0.100,46056,56346,6,390
192.168.0.100,94.131.15.79,63551,46056,5,4970
94.131.15.79,192.168.0.100,46056,63551,7,907
94.131.15.79,192.168.0.100,46056,64652,13,3133
192.168.0.100,94.131.15.79,64652,46056,11,2270
94.131.15.79,192.168.0.100,46056,56394,4,334
192.168.0.100,94.131.15.79,56394,46056,4,219
192.168.0.100,94.131.15.79,54653,46056,4,220
94.131.15.79,192.168.0.100,46056,54653,4,264
192.168.0.100,94.131.15.79,56525,46056,4,220
94.131.15.79,192.168.0.100,46056,56525,4,264
192.168.0.100,94.131.15.79,55541,46056,7,405
192.168.0.100,94.131.15.79,55542,46056,7,405
94.131.15.79,192.168.0.100,46056,55542,8,516
94.131.15.79,192.168.0.100,46056,55541,8,516
100.72.37.62,239.255.255.250,60848,1900,4,848
100.72.37.62,239.255.255.250,60849,1900,4,868
100.72.37.62,239.255.255.250,60850,1900,4,840
192.168.0.100,94.131.15.79,63779,46056,6,393
94.131.15.79,192.168.0.100,46056,63779,6,569
192.168.0.100,94.131.15.79,56539,46056,7,382
192.168.0.100,94.131.15.79,56535,46056,4,220
94.131.15.79,192.168.0.100,46056,56539,8,522
94.131.15.79,192.168.0.100,46056,56535,4,264
192.168.0.100,94.131.15.79,56335,46056,7,2986
94.131.15.79,192.168.0.100,46056,56335,9,1098
192.168.0.100,94.131.15.79,56537,46056,4,220
94.131.15.79,192.168.0.100,46056,56537,4,264
192.168.0.100,94.131.15.79,56541,46056,9,513
94.131.15.79,192.168.0.100,46056,56541,10,729
192.168.0.100,94.131.15.79,56543,46056,6,327
94.131.15.79,192.168.0.100,46056,56543,7,503
192.168.0.100,94.131.15.79,56545,46056,5,274
94.131.15.79,192.168.0.100,46056,56545,5,324
192.168.0.100,94.131.15.79,55445,46056,29,2675
94.131.15.79,192.168.0.100,46056,55445,28,3823
192.168.0.100,94.131.15.79,56551,46056,4,220
94.131.15.79,192.168.0.100,46056,56551,4,264
192.168.0.100,94.131.15.79,56553,46056,4,220
94.131.15.79,192.168.0.100,46056,56553,4,264
94.131.15.79,192.168.0.100,46056,56583,5,324
192.168.0.100,94.131.15.79,56583,46056,5,274
192.168.0.100,224.0.0.251,5353,5353,7,681
192.168.0.100,224.0.0.252,54233,5355,1,75
192.168.0.100,239.255.255.250,53469,3702,4,4496
192.168.0.100,239.255.255.250,57586,1900,24,4080
192.168.0.1,192.168.0.100,1900,57586,14,6544
192.168.0.100,239.255.255.250,53548,1900,1,143
192.168.0.1,192.168.0.100,1900,53548,2,805
192.168.0.100,94.131.15.79,56523,46056,4,220
94.131.15.79,192.168.0.100,46056,56523,4,264
192.168.0.100,239.255.255.250,53556,1900,1,143
192.168.0.1,192.168.0.100,1900,53556,2,805
100.72.37.75,239.255.255.250,60744,1900,4,844
192.168.0.100,239.255.255.250,61649,3702,7,4886
192.168.0.100,192.168.0.1,51186,53,1,76
192.168.0.1,192.168.0.100,53,51186,1,131
192.168.0.100,94.131.15.79,56600,46056,17,5089
94.131.15.79,192.168.0.100,46056,56600,22,16173
192.168.0.100,94.131.15.79,56602,46056,11,2666
94.131.15.79,192.168.0.100,46056,56602,12,6778
192.168.0.100,94.131.15.79,56604,46056,11,2544
94.131.15.79,192.168.0.100,46056,56604,12,6778
